Correo electrónico,Teléfono,Sr.,Apellidos,Móvil,Ciudad,País,Moneda,Experiencia en años,Puesto laboral actual,Salario pretendido,Conjunto de habilidades,Empleador actual,Salario actual,Candidato Estado,Origen,Categoría
cyamamoto@creditsuisse.com,117209478409,Camille,Yamamoto,117209477681,Singapore,Switzerland,USD,13,Managing Director,267,Managing Director Skills,Credit Suisse,295,Active,Direct,Financial Services
fbergström@fnzgroup.com,117209479670,Felix,Bergström,117209476252,Madrid,Germany,USD,19,Implementation Manager,229,Implementation Manager Skills,FNZ Group,222,Active,Internal,Supply Chain
ahenderson@creditsuisse.com,117209476553,Amelia,Henderson,117209479647,Paris,Switzerland,USD,16,Managing Director,247,Managing Director Skills,Credit Suisse,250,Active,Referral,Financial Services
cdubois@fnzgroup.com,117209478337,Carmen,Dubois,117209479193,Frankfurt,Hong Kong,USD,20,Solutions Architect,183,Solutions Architect Skills,FNZ Group,230,Inactive,Direct,Supply Chain
scrawford@fnzgroup.com,117209479588,Sakura,Crawford,117209475380,Paris,Spain,USD,12,Implementation Manager,246,Implementation Manager Skills,FNZ Group,181,Active,LinkedIn,Supply Chain
mcosta@bmwgroup.com,117209478717,Matteo,Costa,117209477855,Hong Kong,Switzerland,USD,15,Treasury Manager,273,Treasury Manager Skills,BMW Group,260,Inactive,LinkedIn,Client Companies
hhenderson@creditsuisse.com,117209476846,Hyun,Henderson,117209475899,Zurich,Germany,USD,7,Managing Director,288,Managing Director Skills,Credit Suisse,279,Inactive,Direct,Financial Services
pjansen@volkswagenag.com,117209475144,Penelope,Jansen,117209478258,London,Hong Kong,USD,10,CFO,259,CFO Skills,Volkswagen AG,259,Active,Referral,Client Companies
bwagner@temenos.com,117209476994,Benjamin,Wagner,117209477861,London,Singapore,USD,13,Technical Consultant,217,Technical Consultant Skills,Temenos,185,Inactive,Direct,Supply Chain
dmueller@barclays.com,117209476292,Diego,Mueller,117209476081,London,Germany,USD,14,Portfolio Manager,251,Portfolio Manager Skills,Barclays,310,Inactive,LinkedIn,Financial Services
jrobertson@broadridge.com,117209477910,Julian,Robertson,117209478831,Paris,France,USD,12,Integration Specialist,193,Integration Specialist Skills,Broadridge,234,Inactive,Internal,Supply Chain
hyang@nestlésa.com,117209476492,Hiroshi,Yang,117209477022,London,France,USD,12,Head of Finance,245,Head of Finance Skills,Nestlé SA,215,Active,Internal,Client Companies
acosta@finastra.com,117209475234,Adriana,Costa,117209475187,New York,Germany,USD,9,Integration Specialist,215,Integration Specialist Skills,Finastra,232,Active,Direct,Supply Chain
oreynolds@refinitiv.com,117209479329,Oliver,Reynolds,117209476165,Zurich,Germany,USD,15,Implementation Manager,211,Implementation Manager Skills,Refinitiv,220,Inactive,Direct,Supply Chain
hferreira@jpmorgan.com,117209476917,Hiroshi,Ferreira,117209476442,Paris,UK,USD,18,Vice President,273,Vice President Skills,JP Morgan,266,Inactive,Direct,Financial Services
pwu@siemensag.com,117209477564,Paulo,Wu,117209478117,Singapore,Hong Kong,USD,11,Financial Controller,226,Financial Controller Skills,Siemens AG,225,Active,Direct,Client Companies
